image_name,caption
00000000_0001_00000001.jpg,"yellow hatchback, with bumper, under open sky, with luggage rack"
00000000_0002_00000003.jpg,"yellow hatchback, with bumper, under open sky, with luggage rack"
00000000_0002_00000004.jpg,"yellow hatchback, with bumper, under open sky, with luggage rack"
00000000_0002_00000001.jpg,"yellow hatchback, with bumper, under open sky, with luggage rack"
00000000_0001_00000004.jpg,"yellow hatchback, with bumper, under open sky, with luggage rack"
00000000_0002_00000000.jpg,"yellow hatchback, with bumper, under open sky, with luggage rack"
00000000_0001_00000003.jpg,"yellow hatchback, with bumper, under open sky, with luggage rack"
00000000_0001_00000000.jpg,"yellow hatchback, with bumper, under open sky, with luggage rack"
00000000_0001_00000002.jpg,"yellow hatchback, with bumper, under open sky, with luggage rack"
00000000_0002_00000002.jpg,"yellow hatchback, with bumper, under open sky, with luggage rack"
00000001_0002_00000000.jpg,"vehicle hatchback, with bumper, under open sky, with luggage rack"
00000001_0002_00000004.jpg,"vehicle hatchback, with bumper, under open sky, with luggage rack"
00000001_0001_00000001.jpg,"vehicle hatchback, with bumper, under open sky, with luggage rack"
00000001_0002_00000001.jpg,"vehicle hatchback, with bumper, under open sky, with luggage rack"
00000001_0002_00000003.jpg,"vehicle hatchback, with bumper, under open sky, with luggage rack"
00000001_0001_00000000.jpg,"vehicle hatchback, with bumper, under open sky, with luggage rack"
00000001_0001_00000002.jpg,"vehicle hatchback, with bumper, under open sky, with luggage rack"
00000001_0002_00000002.jpg,"vehicle hatchback, with bumper, under open sky, with luggage rack"
00000001_0001_00000003.jpg,"vehicle hatchback, with bumper, under open sky, with luggage rack"
00000002_0001_00000001.jpg,"brown vehicle, with bumper, under open sky"
00000002_0002_00000000.jpg,"brown vehicle, with bumper, under open sky"
00000002_0001_00000000.jpg,"brown vehicle, with bumper, under open sky"
00000002_0001_00000003.jpg,"brown vehicle, with bumper, under open sky"
00000002_0002_00000003.jpg,"brown vehicle, with bumper, under open sky"
00000002_0002_00000001.jpg,"brown vehicle, with bumper, under open sky"
00000002_0001_00000002.jpg,"brown vehicle, with bumper, under open sky"
00000002_0002_00000004.jpg,"brown vehicle, with bumper, under open sky"
00000002_0002_00000002.jpg,"brown vehicle, with bumper, under open sky"
00000003_0001_00000002.jpg,"vehicle hatchback, with bumper, under open sky"
00000003_0002_00000003.jpg,"vehicle hatchback, with bumper, under open sky"
00000003_0001_00000003.jpg,"vehicle hatchback, with bumper, under open sky"
00000003_0001_00000000.jpg,"vehicle hatchback, with bumper, under open sky"
00000003_0002_00000002.jpg,"vehicle hatchback, with bumper, under open sky"
00000003_0001_00000004.jpg,"vehicle hatchback, with bumper, under open sky"
00000003_0002_00000001.jpg,"vehicle hatchback, with bumper, under open sky"
00000003_0002_00000000.jpg,"vehicle hatchback, with bumper, under open sky"
00000003_0002_00000004.jpg,"vehicle hatchback, with bumper, under open sky"
00000003_0001_00000001.jpg,"vehicle hatchback, with bumper, under open sky"
00000009_0002_00000000.jpg,black bus
00000009_0002_00000001.jpg,black bus
00000009_0002_00000003.jpg,black bus
00000009_0002_00000004.jpg,black bus
00000009_0001_00000000.jpg,black bus
00000009_0001_00000004.jpg,black bus
00000009_0002_00000002.jpg,black bus
00000009_0001_00000002.jpg,black bus
00000009_0001_00000003.jpg,black bus
00000009_0001_00000001.jpg,black bus
00000010_0002_00000003.jpg,yellow bus
00000010_0002_00000004.jpg,yellow bus
00000010_0001_00000003.jpg,yellow bus
00000010_0001_00000000.jpg,yellow bus
00000010_0002_00000001.jpg,yellow bus
00000010_0002_00000002.jpg,yellow bus
00000010_0001_00000001.jpg,yellow bus
00000010_0002_00000000.jpg,yellow bus
00000010_0001_00000002.jpg,yellow bus
00000010_0001_00000004.jpg,yellow bus
00000011_0001_00000006.jpg,"green lorry, with bumper"
00000011_0002_00000005.jpg,"green lorry, with bumper"
00000011_0002_00000002.jpg,"green lorry, with bumper"
00000011_0001_00000002.jpg,"green lorry, with bumper"
00000011_0001_00000005.jpg,"green lorry, with bumper"
00000011_0002_00000003.jpg,"green lorry, with bumper"
00000011_0001_00000007.jpg,"green lorry, with bumper"
00000011_0002_00000001.jpg,"green lorry, with bumper"
00000011_0001_00000003.jpg,"green lorry, with bumper"
00000011_0002_00000004.jpg,"green lorry, with bumper"
00000011_0001_00000000.jpg,"green lorry, with bumper"
00000011_0002_00000000.jpg,"green lorry, with bumper"
00000011_0001_00000001.jpg,"green lorry, with bumper"
00000011_0001_00000004.jpg,"green lorry, with bumper"
00000013_0002_00000005.jpg,"vehicle vehicle, under open sky"
00000013_0002_00000001.jpg,"vehicle vehicle, under open sky"
00000013_0002_00000004.jpg,"vehicle vehicle, under open sky"
00000013_0002_00000000.jpg,"vehicle vehicle, under open sky"
00000013_0001_00000000.jpg,"vehicle vehicle, under open sky"
00000013_0001_00000001.jpg,"vehicle vehicle, under open sky"
00000013_0001_00000004.jpg,"vehicle vehicle, under open sky"
00000013_0002_00000003.jpg,"vehicle vehicle, under open sky"
00000013_0002_00000002.jpg,"vehicle vehicle, under open sky"
00000013_0001_00000002.jpg,"vehicle vehicle, under open sky"
00000013_0001_00000003.jpg,"vehicle vehicle, under open sky"
00000016_0002_00000006.jpg,"vehicle hatchback, under open sky"
00000016_0001_00000004.jpg,"vehicle hatchback, under open sky"
00000016_0002_00000007.jpg,"vehicle hatchback, under open sky"
00000016_0001_00000003.jpg,"vehicle hatchback, under open sky"
00000016_0001_00000002.jpg,"vehicle hatchback, under open sky"
00000016_0002_00000003.jpg,"vehicle hatchback, under open sky"
00000016_0001_00000001.jpg,"vehicle hatchback, under open sky"
00000016_0001_00000005.jpg,"vehicle hatchback, under open sky"
00000016_0001_00000007.jpg,"vehicle hatchback, under open sky"
00000016_0001_00000000.jpg,"vehicle hatchback, under open sky"
00000016_0002_00000000.jpg,"vehicle hatchback, under open sky"
00000016_0002_00000001.jpg,"vehicle hatchback, under open sky"
00000016_0002_00000005.jpg,"vehicle hatchback, under open sky"
