Query_ID,Image_Name,Match_Rank,Gallery_ID,Similarity
0657,0657_c016_00015625_0.jpg,1,0768,0.9515
0657,0657_c016_00015625_0.jpg,2,0614,0.9514
0657,0657_c016_00015625_0.jpg,3,0480,0.9463
0657,0657_c016_00015625_0.jpg,4,0699,0.9460
0657,0657_c016_00015625_0.jpg,5,0721,0.9449
0657,0657_c016_00015625_0.jpg,6,0585,0.9435
0657,0657_c016_00015625_0.jpg,7,0590,0.9431
0657,0657_c016_00015625_0.jpg,8,0584,0.9429
0657,0657_c016_00015625_0.jpg,9,0677,0.9426
0657,0657_c016_00015625_0.jpg,10,0761,0.9385
0657,0657_c019_00014365_0.jpg,1,0687,0.9198
0657,0657_c019_00014365_0.jpg,2,0657,0.9139
0657,0657_c019_00014365_0.jpg,3,0720,0.8970
0657,0657_c019_00014365_0.jpg,4,0660,0.8910
0657,0657_c019_00014365_0.jpg,5,0624,0.8889
0657,0657_c019_00014365_0.jpg,6,0761,0.8886
0657,0657_c019_00014365_0.jpg,7,0770,0.8855
0657,0657_c019_00014365_0.jpg,8,0623,0.8847
0657,0657_c019_00014365_0.jpg,9,0768,0.8834
0657,0657_c019_00014365_0.jpg,10,0659,0.8755
0657,0657_c011_00066330_1.jpg,1,0657,0.8580
0657,0657_c011_00066330_1.jpg,2,0477,0.8346
0657,0657_c011_00066330_1.jpg,3,0711,0.8346
0657,0657_c011_00066330_1.jpg,4,0630,0.8332
0657,0657_c011_00066330_1.jpg,5,0659,0.8288
0657,0657_c011_00066330_1.jpg,6,0761,0.8265
0657,0657_c011_00066330_1.jpg,7,0631,0.8240
0657,0657_c011_00066330_1.jpg,8,0634,0.8216
0657,0657_c011_00066330_1.jpg,9,0625,0.8199
0657,0657_c011_00066330_1.jpg,10,0042,0.8198
0657,0657_c003_00064995_0.jpg,1,0624,0.9640
0657,0657_c003_00064995_0.jpg,2,0712,0.9640
0657,0657_c003_00064995_0.jpg,3,0696,0.9627
0657,0657_c003_00064995_0.jpg,4,0623,0.9591
0657,0657_c003_00064995_0.jpg,5,0672,0.9586
0657,0657_c003_00064995_0.jpg,6,0727,0.9583
0657,0657_c003_00064995_0.jpg,7,0687,0.9582
0657,0657_c003_00064995_0.jpg,8,0720,0.9559
0657,0657_c003_00064995_0.jpg,9,0770,0.9556
0657,0657_c003_00064995_0.jpg,10,0657,0.9510
0657,0657_c002_00067625_0.jpg,1,0659,0.9655
